Actual,Predicted
-0.13397970915079815,-0.09247140789418651
0.07037353110996207,-0.02798301550090745
-0.19567125338046162,-0.13937205690748036
-0.20569612931778194,-0.30528310279200743
0.4829357331458365,0.9334802892716169
-0.13875309238556838,-0.06902108338753958
-0.20222597995486338,-0.26834884169403855
-0.12395483321347785,-0.09247140789418651
0.8029606188372157,-0.3093869095806707
-0.12781055472783182,0.18306990505891496
-0.1069896585503204,0.20065764843890016
-0.07614388643548867,0.13030667491895936
-0.20222597995486338,-0.26834884169403855
-0.13552199775653975,-0.22144819268074464
-0.19960408932510268,-0.2742114228207003
1.1808213272439045,1.988744892070729
-0.17253692429433784,-0.06315850226087785
-0.016765775114437578,0.09513118815898897
-0.13475085345366897,-0.18041012479411253
-0.2021488655245763,-0.2917991662006855
-0.18101951162591656,-0.04557075888089265
-0.0954224940072585,-0.0625722441482117
-0.14940259520821403,-0.11005915127417172
0.2539058751932109,0.5934505839252363
0.16266562356614436,0.6485588465158567
-0.1301239876364442,-0.18627270592077425
1.257935757530984,0.7165647875851326
0.6795775303778888,1.4787003340511582
-0.20338269640916956,-0.23903593606072984
-0.17485035720295022,-0.03384559662756918
-0.014452342205825195,0.49964928589864854
0.06266208808125413,0.11271893153897417
-0.19093257163932062,-0.08367753620419391
-0.17716379011156258,-0.23903593606072984
-0.20222597995486338,-0.2671763254687062
-0.07614388643548867,0.05409312027235682
-0.05300955734936486,0.042367958019033355
-0.19065881541180146,-0.26834884169403855
-0.14554687369386007,-0.05143334000755439
1.8411521937921649,0.08926860703232722
-0.14554687369386007,0.1713447428055915
-0.19258667616897845,0.006019955033730588
-0.18024836732304578,-0.25076109831405335
-0.14940259520821403,-0.19799786817409773
-0.1763926458086918,-0.25076109831405335
-0.05146726874362328,-0.09247140789418651
-0.15711403823692197,-0.03970817775423091
0.5176372267750222,1.4024867794045555
-0.19567125338046162,-0.26834884169403855
-0.153258316722568,0.033574086329040756
-0.1995269748948156,-0.2566236794407151
0.03875661469225954,0.8279538289917057
0.04720835625172344,0.710702206458471
0.6795775303778888,0.599313165051898
-0.17253692429433784,-0.09247140789418651
-0.05686527886371883,-0.2097230304274212
-0.029875228263241065,0.28859636533882616
-0.09156677249290453,0.14379061151028133
-0.02216378523453313,-0.05729592113421611
-0.21117125386816457,-0.30352432845400895
-0.13783543066515214,-0.08602256865485865
-0.09388020540151691,0.11271893153897417
-0.1887309546546245,-0.2742114228207003
-0.01522348650869599,0.0834060259056655
0.17833373351187315,0.4902691560959898
0.09736358171043984,-0.03970817775423091
2.1833089209759358,-0.26834884169403855
0.12049791079656363,0.02478021463904815
